Trading Partner,Latitude (generated),Longitude (generated)
Zimbabwe,-19.098,30.047
Zambia,-15.13,25.268
Vietnam,21.75,105.373
Venezuela,6.983,-64.588
Vanuatu,-15.339,166.89
Uzbekistan,41.757,63.958
Uruguay,-32.948,-56.249
United States,40.0792,-98.8164
United Kingdom,52.289,-1.259
United Arab Emirates,23.9299,53.9031
Ukraine,49.364,32.132
Uganda,1.9392,32.7415
Turkmenistan,39.584,59.597
Turkey,39.144,34.188
Tunisia,35.594,9.421
Tonga,-21.167,-175.19
Togo,7.7,1.106
Thailand,15.688,100.845
Tanzania,-5.651,34.146
Tajikistan,38.367,72.597
Syria,35.303,38.322
Switzerland,46.7794,8.0329
Sweden,66.2188,19
Suriname,4.248,-55.848
Sudan,15.739,29.533
St. Vincent & Grens.,,
St. Lucia,13.909,-60.9776
Sri Lanka,7.3,80.727
Spain,40.617,-3.388
South Korea,36.338,128.16
South Africa,-31.7,23.441
Somalia,2.875,43.446
Solomon Islands,-9.5987,160.1487
Slovenia,46.037,14.534
Slovakia,48.8595,19.4434
Singapore,1.3389,103.8297
Sierra Leone,8.677,-11.779
Seychelles,-4.6841,55.4924
Serbia,44.021,20.699
Senegal,15.044,-15.081
Saudi Arabia,24.191,44.32
Sao Tome & Principe,0.216,6.595
Samoa,-13.6221,-172.439
Rwanda,-1.887,29.904
Russia,64.736,104.062
Romania,45.933,25.119
Qatar,25.3174,51.1522
Portugal,40.957,-7.9373
Poland,52.442,19.72
Philippines,17.181,121.256
Peru,-12.664,-72.98
Peoples Democratic Republic of Yemen,,
Paraguay,-23.266,-58.409
Papua New Guinea,-5.636,142.798
Panama,8.348,-81.005
Pakistan,28.1854,66.6429
Oman,19.85,56.25
Norway,61.3701,9.3031
North Korea,39.767,126.389
Nigeria,9.3417,7.678
Niger,16.996,9.915
Nicaragua,12.692,-85.03
New Zealand,-42.558,172.377
New Caledonia,-21.02,165.062
Netherlands Antilles,,
Netherlands,52.1704,5.0102
Nepal,28.2114,83.5608
Myanmar,21.841,96.05
Mozambique,-13.852,38.042
Morocco,31.129,-7.355
Montenegro,42.857,19.096
Mongolia,46.516,102.564
Moldova,47.524,28.444
Mexico,22.925,-101.68
Mauritius,-20.2529,57.5902
Mauritania,19.413,-10.6528
Malta,35.9024,14.4137
Mali,18.211,-2.209
Maldives,4.221,73.463
Malaysia,4.416,102.099
Malawi,-13.2731,33.7428
Madagascar,-19.615,46.645
Macedonia,41.636,21.676
Macau,22.1404,113.5643
Luxembourg,49.671,6.113
Lithuania,55.342,24.23
Libya,27.24,17.571
Liberia,6.51,-9.33
Lebanon,34.161,36.021
Latvia,57.017,25.0173
Laos,19.595,102.538
Kyrgyzstan,41.741,75.043
Kuwait,29.3169,47.4272
Kenya,0.806,38.166
Kazakhstan,48.866,69.772
Jordan,30.681,36.279
Japan,35.962,137.855
Jamaica,18.163,-77.477
Italy,44.3713,11.1084
Israel,30.992,34.834
Ireland,53.214,-7.588
Iraq,33.545,43.278
Iran,33.408,54.0418
Indonesia,-0.739,114.045
India,22.741,78.236
Iceland,64.826,-18.417
Hungary,47.174,19.618
Hong Kong,22.4114,114.0599
Honduras,14.881,-87.123
Haiti,19.3175,-72.4205
Guyana,5.17,-58.939
Guinea-Bissau,12.191,-14.475
Guinea,10.599,-10.907
Guatemala,15.124,-90.711
Grenada,12.111,-61.6867
Greenland,71,-39
Greece,39.787,21.617
Ghana,7.258,-1.062
Germany,51.3819,9.9877
Georgia,42.05,43.576
Gambia,13.499,-14.641
Gabon,-0.406,11.914
France,46.656,2.543
Finland,62.716,26.192
Fiji,-17.7941,177.9783
Faeroe Islands,62.1252,-7.0174
European Union,,
Ethiopia,8.435,38.786
Estonia,58.777,25.977
Equatorial Guinea,1.6342,10.4695
El Salvador,13.848,-89.229
Egypt,26.16,28.742
Ecuador,-1.151,-78.308
Dominican Republic,19.01,-70.1685
Dominica,15.4238,-61.3411
Djibouti,11.41,42.165
Denmark,56.113,9.096
Czech Republic,49.848,15.2812
Cyprus,34.894,32.928
Cuba,20.571,-76.456
Croatia,45.754,16.385
Cote D Ivoire,7.497,-5.336
Costa Rica,10.126,-84.075
"Congo, Democratic Republic",-1.418,23.607
Congo,0.509,16.08
Comoros,-11.6527,43.3307
Colombia,3.794,-73.606
China,35.1753,99.3877
Chile,-23.176,-69.201
Chad,15.981,18.781
Central African Rep.,7.043,21.424
Cape Verde,15.416,-23.36
Canada,59.2067,-111.1937
Cameroon,4.4,12.131
Cambodia,12.69,104.444
Burundi,-3.333,29.749
Burkina Faso,12.673,-1.226
Bulgaria,42.625,24.521
Brunei Darussalam,4.452,114.557
Brazil,-11.694,-48.978
Bosnia and Herzegovina,44.342,17.804
Bolivia,-16.71,-65.183
Bermuda,32.3019,-64.7737
Benin,10.478,2.274
Belize,17.108,-88.744
Belgium,50.6745,4.4588
Belarus,53.3292,27.9492
Barbados,13.1898,-59.559
Bangladesh,24.598,90.1963
Bahrain,26.025,50.5534
Bahamas,24.7032,-78.0455
Azerbaijan,40.46,47.883
Austria,47.65,14.705
Australia,-24.578,133.582
Aruba,12.5176,-69.9818
Armenia,40.56,44.449
Argentina,-33.166,-64.31
Angola,-12.836,17.808
Algeria,28.6045,2.64
Albania,40.654,20.076
Afghanistan,34.023,65.5267
