Reporting Economy,Product/Sector,Partner Economy,Year,Value,Product/Sector-reformatted,Type,Direction
Australia,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,0.0,Manufacturing services on physical inputs owned by others,services,imports
Australia,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,489.0,Maintenance and repair services n.i.e.,services,imports
Australia,BOP6 - SC - Transport,World,2014,14911.0,Transport,services,imports
Australia,BOP6 - SD - Travel,World,2014,33234.0,Travel,services,imports
Australia,BOP6 - SOX1 - Other commercial services,World,2014,21367.0,Other commercial services,services,imports
Australia,BOP6 - S - Memo item: Total services,World,2014,71031.0,Memo item: Total services,services,imports
Brazil,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,3.0,Manufacturing services on physical inputs owned by others,services,imports
Brazil,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,196.0,Maintenance and repair services n.i.e.,services,imports
Brazil,BOP6 - SC - Transport,World,2014,14640.0,Transport,services,imports
Brazil,BOP6 - SD - Travel,World,2014,25567.0,Travel,services,imports
Brazil,BOP6 - SOX1 - Other commercial services,World,2014,45608.0,Other commercial services,services,imports
Brazil,BOP6 - S - Memo item: Total services,World,2014,88171.0,Memo item: Total services,services,imports
Canada,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,793.0,Maintenance and repair services n.i.e.,services,imports
Canada,BOP6 - SC - Transport,World,2014,22673.0,Transport,services,imports
Canada,BOP6 - SD - Travel,World,2014,37627.0,Travel,services,imports
Canada,BOP6 - SOX1 - Other commercial services,World,2014,52065.0,Other commercial services,services,imports
Canada,BOP6 - S - Memo item: Total services,World,2014,114166.0,Memo item: Total services,services,imports
China,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,116.0,Manufacturing services on physical inputs owned by others,services,imports
China,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,,Maintenance and repair services n.i.e.,services,imports
China,BOP6 - SC - Transport,World,2014,96158.0,Transport,services,imports
China,BOP6 - SD - Travel,World,2014,227344.0,Travel,services,imports
China,BOP6 - SOX1 - Other commercial services,World,2014,107239.0,Other commercial services,services,imports
China,BOP6 - S - Memo item: Total services,World,2014,432883.0,Memo item: Total services,services,imports
France,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,10065.0,Manufacturing services on physical inputs owned by others,services,imports
France,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,4543.0,Maintenance and repair services n.i.e.,services,imports
France,BOP6 - SC - Transport,World,2014,51910.0,Transport,services,imports
France,BOP6 - SD - Travel,World,2014,48757.0,Travel,services,imports
France,BOP6 - SOX1 - Other commercial services,World,2014,137190.0,Other commercial services,services,imports
France,BOP6 - S - Memo item: Total services,World,2014,252964.0,Memo item: Total services,services,imports
Germany,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,4967.0,Manufacturing services on physical inputs owned by others,services,imports
Germany,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,8649.0,Maintenance and repair services n.i.e.,services,imports
Germany,BOP6 - SC - Transport,World,2014,71016.0,Transport,services,imports
Germany,BOP6 - SD - Travel,World,2014,93342.0,Travel,services,imports
Germany,BOP6 - SOX1 - Other commercial services,World,2014,153390.0,Other commercial services,services,imports
Germany,BOP6 - S - Memo item: Total services,World,2014,332743.0,Memo item: Total services,services,imports
