Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,1284730,100,607994,100,676736,100,-68742,001D1132 Index,132D1001 Index
Non Fuel Exporting Countries,1191744,92.76,567738,93.38,624006,92.21,-56268,092D1132 Index,132D1092 Index
Advanced Economies,966274,75.21,451824,74.31,514450,76.02,-62626,110D1132 Index,132D1110 Index
European Union,813247,63.3,355420,58.46,457827,67.65,-102407,998D1132 Index,132D1998 Index
Euro-zone,667882,51.99,280537,46.14,387345,57.24,-106808,995D1132 Index,132D1995 Index
Emerging and Developing Economies,312803,24.35,155859,25.63,156944,23.19,-1085,200I1132 Index,132D1200 Index
Germany,225009.3,17.51,94966.3,15.62,130043,19.22,-35076.7,134D1132 Index,132D1134 Index
Belgium,120316.6,9.37,45335.4,7.46,74981.2,11.08,-29645.8,124D1132 Index,132D1124 Index
Developing Europe,94094.6,7.32,44031.6,7.24,50063,7.4,-6031.4,170D1132 Index,132D1170 Index
Developing Asia,93958.8,7.31,43542.3,7.16,50416.5,7.45,-6874.2,505D1132 Index,132D1505 Index
Fuel Exporting Countries,92986,7.24,40255.9,6.62,52730.1,7.79,-12474.2,080D1132 Index,132D1080 Index
Italy,92050.2,7.16,40923.9,6.73,51126.3,7.55,-10202.4,136D1132 Index,132D1136 Index
Spain,86210.8,6.71,42379.6,6.97,43831.2,6.48,-1451.6,184D1132 Index,132D1184 Index
United States,80988.7,6.3,47008,7.73,33980.7,5.02,13027.3,111D1132 Index,132D1111 Index
Netherlands,74226.5,5.78,23741.3,3.9,50485.2,7.46,-26743.9,138D1132 Index,132D1138 Index
United Kingdom,68538.2,5.33,39735.6,6.54,28802.6,4.26,10933,112D1132 Index,132D1112 Index
China,60885,4.74,27115.5,4.46,33769.5,4.99,-6654,924D1132 Index,132D1924 Index
Switzerland,38683.7,3.01,18174.7,2.99,20509,3.03,-2334.3,146D1132 Index,132D1146 Index
CIS Countries,36101.7,2.81,14402.2,2.37,21699.5,3.21,-7297.3,901D1132 Index,132D1901 Index
Sub-Saharan Africa,27711.4,2.16,13572.9,2.23,14138.5,2.09,-565.6,603D1132 Index,132D1603 Index
Developing Western Hemisphere,26908.28,2.09,18141.2,2.98,8767.08,1.3,9374.12,205D1132 Index,132D1205 Index
Russia,23972.7,1.87,10715.1,1.76,13257.6,1.96,-2542.5,922D1132 Index,132D1922 Index
Poland,20171.99,1.57,9071.09,1.49,11100.9,1.64,-2029.81,964D1132 Index,132D1964 Index
Japan,17062.11,1.33,11454.6,1.88,5607.51,0.83,5847.09,158D1132 Index,132D1158 Index
Ireland,16029.38,1.25,8026.76,1.32,8002.62,1.18,24.14,178D1132 Index,132D1178 Index
Sweden,15364.3,1.2,7183.5,1.18,8180.8,1.21,-997.3,144D1132 Index,132D1144 Index
Turkey,15130.23,1.18,8122.57,1.34,7007.66,1.04,1114.91,186D1132 Index,132D1186 Index
Saudi Arabia,13637.77,1.06,4496.24,0.74,9141.53,1.35,-4645.29,456D1132 Index,132D1456 Index
Czech Republic,13445.95,1.05,4869.28,0.8,8576.67,1.27,-3707.39,935D1132 Index,132D1935 Index
Austria,13210.69,1.03,4840.59,0.8,8370.1,1.24,-3529.51,122D1132 Index,132D1122 Index
Portugal,12315.13,0.96,5555.03,0.91,6760.1,1,-1205.07,182D1132 Index,132D1182 Index
Algeria,12194.82,0.95,6363.77,1.05,5831.05,0.86,532.72,612D1132 Index,132D1612 Index
Singapore,10873.75,0.85,8108.25,1.33,2765.5,0.41,5342.75,576D1132 Index,132D1576 Index
Morocco,10314.49,0.8,6066.25,1,4248.24,0.63,1818.01,686D1132 Index,132D1686 Index
South Korea,9724.23,0.76,6825.82,1.12,2898.41,0.43,3927.41,542D1132 Index,132D1542 Index
Hungary,9567.4,0.74,4963.69,0.82,4603.71,0.68,359.98,944D1132 Index,132D1944 Index
India,9486.4,0.74,3698.85,0.61,5787.55,0.86,-2088.7,534D1132 Index,132D1534 Index
Brazil,9204.3,0.72,6047.45,0.99,3156.85,0.47,2890.6,223D1132 Index,132D1223 Index
Tunisia,9190.56,0.72,4044.98,0.67,5145.58,0.76,-1100.6,744D1132 Index,132D1744 Index
Canada,9042.85,0.7,5671.12,0.93,3371.73,0.5,2299.39,156D1132 Index,132D1156 Index
Romania,8163.5,0.64,4418.67,0.73,3744.83,0.55,673.84,968D1132 Index,132D1968 Index
United Arab Emirates,8141.97,0.63,6767.75,1.11,1374.22,0.2,5393.53,466D1132 Index,132D1466 Index
Denmark,7161.58,0.56,3058.95,0.5,4102.63,0.61,-1043.68,128D1132 Index,132D1128 Index
Luxembourg,6612.82,0.51,3167.95,0.52,3444.87,0.51,-276.92,137D1132 Index,132D1137 Index
Kazakhstan,6571.76,0.51,1085.16,0.18,5486.6,0.81,-4401.44,916D1132 Index,132D1916 Index
Slovakia,6528.05,0.51,2824.53,0.46,3703.52,0.55,-878.99,936D1132 Index,132D1936 Index
Hong Kong,6415.96,0.5,5688.33,0.94,727.63,0.11,4960.7,532D1132 Index,132D1532 Index
Nigeria,6373.7,0.5,876.59,0.14,5497.11,0.81,-4620.52,694D1132 Index,132D1694 Index
Mexico,5858.31,0.46,4013.28,0.66,1845.03,0.27,2168.25,273D1132 Index,132D1273 Index
Norway,5679.24,0.44,3073.1,0.51,2606.14,0.39,466.96,142D1132 Index,132D1142 Index
Malaysia,5580.17,0.43,3807.9,0.63,1772.27,0.26,2035.63,548D1132 Index,132D1548 Index
Australia,5084.76,0.4,4067.24,0.67,1017.52,0.15,3049.72,193D1132 Index,132D1193 Index
Finland,4634,0.36,2302.25,0.38,2331.75,0.34,-29.5,172D1132 Index,132D1172 Index
Thailand,4110.88,0.32,2050.99,0.34,2059.89,0.3,-8.9,578D1132 Index,132D1578 Index
Vietnam,3926.4,0.31,1143.13,0.19,2783.27,0.41,-1640.14,582D1132 Index,132D1582 Index
Greece,3698.53,0.29,2920.19,0.48,778.34,0.12,2141.85,174D1132 Index,132D1174 Index
Egypt,3439.97,0.27,2107.42,0.35,1332.55,0.2,774.87,469D1132 Index,132D1469 Index
Chile,3429.06,0.27,2267.95,0.37,1161.11,0.17,1106.84,228D1132 Index,132D1228 Index
South Africa,3186.38,0.25,2363.75,0.39,822.63,0.12,1541.12,199D1132 Index,132D1199 Index
Angola,3050.25,0.24,1027.32,0.17,2022.93,0.3,-995.61,614D1132 Index,132D1614 Index
Israel,2903.24,0.23,1560.5,0.26,1342.74,0.2,217.76,436D1132 Index,132D1436 Index
Philippines,2867.84,0.22,2487.41,0.41,380.43,0.06,2106.98,566D1132 Index,132D1566 Index
Indonesia,2721.09,0.21,1335.16,0.22,1385.93,0.2,-50.77,536D1132 Index,132D1536 Index
Slovenia,2665.76,0.21,1110.15,0.18,1555.61,0.23,-445.46,961D1132 Index,132D1961 Index
Libya,2627.08,0.2,161.97,0.03,2465.11,0.36,-2303.14,672D1132 Index,132D1672 Index
Bulgaria,2212.04,0.17,1053.82,0.17,1158.22,0.17,-104.4,918D1132 Index,132D1918 Index
Colombia,2201.9,0.17,1853.55,0.3,348.35,0.05,1505.2,233D1132 Index,132D1233 Index
Cote D Ivoire,2072.2,0.16,1363.08,0.22,709.12,0.1,653.96,662D1132 Index,132D1662 Index
Azerbaijan,1981.87,0.15,157.36,0.03,1824.51,0.27,-1667.15,912D1132 Index,132D1912 Index
Ukraine,1869.2,0.15,1267.3,0.21,601.9,0.09,665.41,926D1132 Index,132D1926 Index
Argentina,1857.55,0.14,1474.59,0.24,382.96,0.06,1091.63,213D1132 Index,132D1213 Index
Kuwait,1825.07,0.14,815.77,0.13,1009.3,0.15,-193.53,443D1132 Index,132D1443 Index
Lithuania,1779.57,0.14,971.72,0.16,807.85,0.12,163.88,946D1132 Index,132D1946 Index
Qatar,1721.92,0.13,928.17,0.15,793.76,0.12,134.41,453D1132 Index,132D1453 Index
Bangladesh,1609.34,0.13,124.05,0.02,1485.29,0.22,-1361.24,513D1132 Index,132D1513 Index
Iraq,1594.74,0.12,586.76,0.1,1007.98,0.15,-421.22,433D1132 Index,132D1433 Index
Lebanon,1346.74,0.1,1275.27,0.21,71.47,0.01,1203.8,446D1132 Index,132D1446 Index
Ghana,1322.29,0.1,329.88,0.05,992.41,0.15,-662.52,652D1132 Index,132D1652 Index
New Zealand,1294.61,0.1,974.19,0.16,320.43,0.05,653.76,196D1132 Index,132D1196 Index
Senegal,1211.65,0.09,1111.99,0.18,99.66,0.01,1012.33,722D1132 Index,132D1722 Index
Gabon,1194.68,0.09,1026.1,0.17,168.58,0.02,857.52,646D1132 Index,132D1646 Index
Equatorial Guinea,1151.43,0.09,146.68,0.02,1004.75,0.15,-858.07,642D1132 Index,132D1642 Index
Cameroon,1040.53,0.08,772.58,0.13,267.95,0.04,504.63,622D1132 Index,132D1622 Index
Pakistan,975.69,0.08,398.37,0.07,577.32,0.09,-178.95,564D1132 Index,132D1564 Index
