Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,2364300,100,1313170,100,1051130,100,262040,001D1134 Index,134D1001 Index
Advanced Economies,1676689,70.92,929139,70.76,747550,71.12,181589,110D1134 Index,134D1110 Index
European Union,1299343,54.96,654652,49.85,644691,61.33,9961,998D1134 Index,134D1998 Index
Euro-zone,943946,39.92,471105,35.88,472841,44.98,-1736,995D1134 Index,134D1995 Index
Emerging and Developing Economies,687270,29.07,383719,29.22,303551,28.88,80168,200I1134 Index,134D1200 Index
Non Fuel Exporting Countries,580309,24.54,321372,24.47,258937,24.63,62435,092D1134 Index,134D1092 Index
Developing Europe,307679,13.01,156395,11.91,151284,14.39,5111,170D1134 Index,134D1170 Index
Developing Asia,237096,10.03,122845,9.35,114251,10.87,8594,505D1134 Index,134D1505 Index
Netherlands,218462.6,9.24,75405.6,5.74,143057,13.61,-67651.4,138D1134 Index,134D1138 Index
France,190975.1,8.08,111364,8.48,79611.1,7.57,31752.9,132D1134 Index,134D1132 Index
United States,174184.7,7.37,124139,9.45,50045.7,4.76,74093.3,111D1134 Index,134D1111 Index
China,164155.4,6.94,87470.1,6.66,76685.3,7.3,10784.8,924D1134 Index,134D1924 Index
United Kingdom,137478.5,5.81,92722.1,7.06,44756.4,4.26,47965.7,112D1134 Index,134D1112 Index
Italy,118721.6,5.02,63865.3,4.86,54856.3,5.22,9009,136D1134 Index,134D1136 Index
Belgium,111033.4,4.7,48107.9,3.66,62925.5,5.99,-14817.6,124D1134 Index,134D1124 Index
Austria,109106.8,4.61,64827.7,4.94,44279.1,4.21,20548.6,122D1134 Index,134D1122 Index
Poland,107010.9,4.53,54360.3,4.14,52650.6,5.01,1709.7,964D1134 Index,134D1964 Index
Fuel Exporting Countries,106960.2,4.52,62347,4.75,44613.2,4.24,17733.8,080D1134 Index,134D1080 Index
Switzerland,96302.7,4.07,51987.5,3.96,44315.2,4.22,7672.3,146D1134 Index,134D1146 Index
Czech Republic,88985.2,3.76,42230,3.22,46755.2,4.45,-4525.2,935D1134 Index,134D1935 Index
Spain,74437.2,3.15,45013.6,3.43,29423.6,2.8,15590,184D1134 Index,134D1184 Index
CIS Countries,69358.3,2.93,30840.1,2.35,38518.2,3.66,-7678.1,901D1134 Index,134D1901 Index
Developing Western Hemisphere,55870.7,2.36,39588.3,3.01,16282.4,1.55,23305.9,205D1134 Index,134D1205 Index
Russia,50816.8,2.15,20439.3,1.56,30377.5,2.89,-9938.2,922D1134 Index,134D1922 Index
Hungary,50068.8,2.12,23943.9,1.82,26124.9,2.49,-2181,944D1134 Index,134D1944 Index
Sweden,40358.2,1.71,24667.8,1.88,15690.4,1.49,8977.4,144D1134 Index,134D1144 Index
Turkey,36987.1,1.56,22735.9,1.73,14251.2,1.36,8484.7,186D1134 Index,134D1186 Index
Japan,35762.4,1.51,20276.4,1.54,15486,1.47,4790.4,158D1134 Index,134D1158 Index
Denmark,32493.8,1.37,17526.5,1.33,14967.3,1.42,2559.2,128D1134 Index,134D1128 Index
Slovakia,30117.2,1.27,13970,1.06,16147.2,1.54,-2177.2,936D1134 Index,134D1936 Index
South Korea,28225.05,1.19,20956.5,1.6,7268.55,0.69,13687.95,542D1134 Index,134D1542 Index
Sub-Saharan Africa,25701,1.09,15568.2,1.19,10132.8,0.96,5435.4,603D1134 Index,134D1603 Index
Romania,25139.6,1.06,13870.6,1.06,11269,1.07,2601.6,968D1134 Index,134D1968 Index
Norway,25112.13,1.06,8614.33,0.66,16497.8,1.57,-7883.47,142D1134 Index,134D1142 Index
Finland,19567.83,0.83,10244.2,0.78,9323.63,0.89,920.57,172D1134 Index,134D1172 Index
India,18891.84,0.8,11895.5,0.91,6996.34,0.67,4899.16,534D1134 Index,134D1534 Index
Mexico,18637.72,0.79,14814.2,1.13,3823.52,0.36,10990.68,273D1134 Index,134D1273 Index
Ireland,18052.82,0.76,6928.32,0.53,11124.5,1.06,-4196.18,178D1134 Index,134D1178 Index
Canada,17880.86,0.76,14376.5,1.09,3504.36,0.33,10872.14,156D1134 Index,134D1156 Index
Brazil,17055.39,0.72,11001.7,0.84,6053.69,0.58,4948.01,223D1134 Index,134D1223 Index
South Africa,15829.87,0.67,10241.6,0.78,5588.27,0.53,4653.33,199D1134 Index,134D1199 Index
Portugal,14504.79,0.61,8544.64,0.65,5960.15,0.57,2584.49,182D1134 Index,134D1182 Index
Saudi Arabia,13069.73,0.55,12297.5,0.94,772.23,0.07,11525.27,456D1134 Index,134D1456 Index
United Arab Emirates,12856.7,0.54,11931.5,0.91,925.2,0.09,11006.3,466D1134 Index,134D1466 Index
Malaysia,12130.75,0.51,6009.42,0.46,6121.33,0.58,-111.91,548D1134 Index,134D1548 Index
Singapore,11662.14,0.49,8950.31,0.68,2711.83,0.26,6238.48,576D1134 Index,134D1576 Index
Australia,11259.26,0.48,9820.04,0.75,1439.22,0.14,8380.82,193D1134 Index,134D1193 Index
Slovenia,10773.43,0.46,4907.67,0.37,5865.76,0.56,-958.09,961D1134 Index,134D1961 Index
