Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,871948,100,461029,100,410919,100,50110,001D1136 Index,136D1001 Index
Advanced Economies,574419,65.88,317861,68.95,256558,62.44,61303,110D1136 Index,136D1110 Index
European Union,443458,50.86,214904,46.61,228554,55.62,-13650,998D1136 Index,136D1998 Index
Euro-zone,365222,41.89,174779,37.91,190443,46.35,-15664,995D1136 Index,136D1995 Index
Emerging and Developing Economies,295664,33.91,142737,30.96,152927,37.22,-10190,200I1136 Index,136D1200 Index
Non Fuel Exporting Countries,214849,24.64,107743,23.37,107106,26.06,637,092D1136 Index,136D1092 Index
Developing Europe,120287.9,13.8,56772.5,12.31,63515.4,15.46,-6742.9,170D1136 Index,136D1170 Index
Germany,118721.6,13.62,54856.3,11.9,63865.3,15.54,-9009,134D1136 Index,136D1134 Index
Fuel Exporting Countries,80814.7,9.27,34993.9,7.59,45820.8,11.15,-10826.9,080D1136 Index,136D1080 Index
France,79638.1,9.13,43964,9.54,35674.1,8.68,8289.9,132D1136 Index,136D1132 Index
Developing Asia,74553.5,8.55,28465.7,6.17,46087.8,11.22,-17622.1,505D1136 Index,136D1505 Index
United States,59765,6.85,44014.6,9.55,15750.4,3.83,28264.2,111D1136 Index,136D1111 Index
China,48152.6,5.52,16784.7,3.64,31367.9,7.63,-14583.2,924D1136 Index,136D1924 Index
Spain,40653,4.66,20051.5,4.35,20601.5,5.01,-550,184D1136 Index,136D1184 Index
CIS Countries,39328.8,4.51,12853.3,2.79,26475.5,6.44,-13622.2,901D1136 Index,136D1901 Index
United Kingdom,36123.8,4.14,24062.8,5.22,12061,2.94,12001.8,112D1136 Index,136D1112 Index
Belgium,33405.4,3.83,14412.4,3.13,18993,4.62,-4580.6,124D1136 Index,136D1124 Index
Netherlands,33019.4,3.79,10212.9,2.22,22806.5,5.55,-12593.6,138D1136 Index,136D1138 Index
Switzerland,31417.3,3.6,19480.7,4.23,11936.6,2.9,7544.1,146D1136 Index,136D1146 Index
Developing Western Hemisphere,27650.1,3.17,17166.5,3.72,10483.6,2.55,6682.9,205D1136 Index,136D1205 Index
Russia,24303.78,2.79,8322.58,1.81,15981.2,3.89,-7658.62,922D1136 Index,136D1922 Index
Poland,19890.36,2.28,10376.1,2.25,9514.26,2.32,861.84,964D1136 Index,136D1964 Index
Austria,19150.83,2.2,9741.96,2.11,9408.87,2.29,333.09,122D1136 Index,136D1122 Index
Turkey,18711.43,2.15,11342.9,2.46,7368.53,1.79,3974.37,186D1136 Index,136D1186 Index
Sub-Saharan Africa,14870.16,1.71,6551.86,1.42,8318.3,2.02,-1766.44,603D1136 Index,136D1603 Index
Romania,14714.73,1.69,7592.41,1.65,7122.32,1.73,470.09,968D1136 Index,136D1968 Index
Czech Republic,11635.84,1.33,5493.49,1.19,6142.35,1.49,-648.86,935D1136 Index,136D1935 Index
Japan,10982.7,1.26,7522.87,1.63,3459.83,0.84,4063.04,158D1136 Index,136D1158 Index
South Korea,9371.04,1.07,5824.91,1.26,3546.13,0.86,2278.78,542D1136 Index,136D1542 Index
Hungary,9111.15,1.04,4168.26,0.9,4942.89,1.2,-774.63,944D1136 Index,136D1944 Index
Saudi Arabia,9006.91,1.03,5289.26,1.15,3717.65,0.9,1571.61,456D1136 Index,136D1456 Index
India,8553.55,0.98,4113.89,0.89,4439.66,1.08,-325.77,534D1136 Index,136D1534 Index
Brazil,8517.61,0.98,4966.05,1.08,3551.56,0.86,1414.49,223D1136 Index,136D1223 Index
Sweden,8440.29,0.97,4570.29,0.99,3870,0.94,700.29,144D1136 Index,136D1144 Index
Algeria,7989.51,0.92,4638.58,1.01,3350.93,0.82,1287.65,612D1136 Index,136D1612 Index
Canada,7730.76,0.89,6110.32,1.33,1620.44,0.39,4489.88,156D1136 Index,136D1156 Index
Slovenia,7026.44,0.81,4108.55,0.89,2917.89,0.71,1190.66,961D1136 Index,136D1961 Index
Greece,6856.94,0.79,4034.97,0.88,2821.97,0.69,1213,174D1136 Index,136D1174 Index
Mexico,6768.12,0.78,5365.78,1.16,1402.34,0.34,3963.44,273D1136 Index,136D1273 Index
Hong Kong,6738.54,0.77,6392.02,1.39,346.52,0.08,6045.5,532D1136 Index,136D1532 Index
United Arab Emirates,6446.77,0.74,5501.74,1.19,945.03,0.23,4556.71,466D1136 Index,136D1466 Index
Slovakia,6013.64,0.69,2583.24,0.56,3430.4,0.83,-847.16,936D1136 Index,136D1936 Index
Ireland,5728.29,0.66,1166.84,0.25,4561.45,1.11,-3394.61,178D1136 Index,136D1178 Index
Libya,5588.28,0.64,1794.81,0.39,3793.47,0.92,-1998.66,672D1136 Index,136D1672 Index
Tunisia,5562.29,0.64,3013.97,0.65,2548.32,0.62,465.65,744D1136 Index,136D1744 Index
Denmark,5422.45,0.62,3019.14,0.65,2403.31,0.58,615.83,128D1136 Index,136D1128 Index
Azerbaijan,5389.01,0.62,587.77,0.13,4801.24,1.17,-4213.47,912D1136 Index,136D1912 Index
Portugal,5288.31,0.61,3617.78,0.78,1670.53,0.41,1947.25,182D1136 Index,136D1182 Index
Egypt,5249.57,0.6,3045.29,0.66,2204.28,0.54,841.01,469D1136 Index,136D1469 Index
Australia,5173.66,0.59,4614.47,1,559.19,0.14,4055.28,193D1136 Index,136D1193 Index
Iraq,4803.18,0.55,1074.56,0.23,3728.62,0.91,-2654.06,433D1136 Index,136D1433 Index
Bulgaria,4762.54,0.55,2209.44,0.48,2553.1,0.62,-343.66,918D1136 Index,136D1918 Index
Vietnam,4404.08,0.51,1451.48,0.31,2952.6,0.72,-1501.12,582D1136 Index,136D1582 Index
South Africa,4328.31,0.5,2372.91,0.51,1955.4,0.48,417.51,199D1136 Index,136D1199 Index
Croatia,4258.21,0.49,2695.78,0.58,1562.43,0.38,1133.35,960D1136 Index,136D1960 Index
Serbia,3931.72,0.45,1920.51,0.42,2011.21,0.49,-90.7,942D1136 Index,136D1942 Index
Singapore,3819.47,0.44,3540.84,0.77,278.63,0.07,3262.21,576D1136 Index,136D1576 Index
Kazakhstan,3762.43,0.43,1174.45,0.25,2587.98,0.63,-1413.53,916D1136 Index,136D1916 Index
Indonesia,3580.86,0.41,1368.24,0.3,2212.62,0.54,-844.38,536D1136 Index,136D1536 Index
Israel,3472.07,0.4,2490.4,0.54,981.67,0.24,1508.73,436D1136 Index,136D1436 Index
Norway,3306.04,0.38,2292.13,0.5,1013.91,0.25,1278.22,142D1136 Index,136D1142 Index
Ukraine,3290.05,0.38,976.6,0.21,2313.45,0.56,-1336.85,926D1136 Index,136D1926 Index
Thailand,3266.38,0.37,1915.97,0.42,1350.41,0.33,565.56,578D1136 Index,136D1578 Index
Qatar,2957.46,0.34,1451.04,0.31,1506.42,0.37,-55.38,453D1136 Index,136D1453 Index
Finland,2947.18,0.34,1468.13,0.32,1479.05,0.36,-10.92,172D1136 Index,136D1172 Index
Morocco,2921.32,0.34,2039.15,0.44,882.17,0.21,1156.98,686D1136 Index,136D1686 Index
Chile,2396.22,0.27,1162.08,0.25,1234.14,0.3,-72.06,228D1136 Index,136D1228 Index
Malaysia,2318.63,0.27,1330.1,0.29,988.53,0.24,341.57,548D1136 Index,136D1548 Index
Argentina,2314.69,0.27,1370.06,0.3,944.63,0.23,425.43,213D1136 Index,136D1213 Index
Albania,2207.9,0.25,1308.87,0.28,899.03,0.22,409.84,914D1136 Index,136D1914 Index
Bangladesh,1844.62,0.21,413.81,0.09,1430.81,0.35,-1017,513D1136 Index,136D1513 Index
Lithuania,1784.25,0.2,1275.25,0.28,509,0.12,766.25,946D1136 Index,136D1946 Index
Malta,1758.37,0.2,1439.52,0.31,318.85,0.08,1120.68,181D1136 Index,136D1181 Index
Bosnia and Herzegovina,1732.4,0.2,997.22,0.22,735.18,0.18,262.04,963D1136 Index,136D1963 Index
