Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,1169961,100,574839,100,595122,100,-20283,001D1138 Index,138D1001 Index
Advanced Economies,857462,73.29,493546,85.86,363916,61.15,129630,110D1138 Index,138D1110 Index
European Union,666288,56.95,419280,72.94,247008,41.51,172272,998D1138 Index,138D1998 Index
Euro-zone,565409,48.33,356917,62.09,208492,35.03,148425,995D1138 Index,138D1995 Index
Emerging and Developing Economies,308604.7,26.38,81209.7,14.13,227395,38.21,-146185.3,200I1138 Index,138D1200 Index
Non Fuel Exporting Countries,270056.5,23.08,69465.5,12.08,200591,33.71,-131125.5,092D1138 Index,138D1092 Index
Germany,250942.9,21.45,160776,27.97,90166.9,15.15,70609.1,134D1138 Index,138D1134 Index
Developing Asia,162684.8,13.91,20452.8,3.56,142232,23.9,-121779.2,505D1138 Index,138D1505 Index
China,117879.1,10.08,12788.1,2.22,105091,17.66,-92302.9,924D1138 Index,138D1924 Index
Belgium,114238.6,9.76,66496.7,11.57,47741.9,8.02,18754.8,124D1138 Index,138D1124 Index
United States,72678.5,6.21,27470.1,4.78,45208.4,7.6,-17738.3,111D1138 Index,138D1111 Index
United Kingdom,70239.3,6,44879.8,7.81,25359.5,4.26,19520.3,112D1138 Index,138D1112 Index
France,68189.1,5.83,50146.1,8.72,18043,3.03,32103.1,132D1138 Index,138D1132 Index
Italy,39010.2,3.33,25504.2,4.44,13506,2.27,11998.2,136D1138 Index,138D1136 Index
Fuel Exporting Countries,38548.3,3.29,11744.2,2.04,26804.1,4.5,-15059.9,080D1138 Index,138D1080 Index
Spain,29584.8,2.53,19265.4,3.35,10319.4,1.73,8946,184D1138 Index,138D1184 Index
Developing Western Hemisphere,28875.15,2.47,6692.95,1.16,22182.2,3.73,-15489.25,205D1138 Index,138D1205 Index
Poland,27467.6,2.35,16104.7,2.8,11362.9,1.91,4741.8,964D1138 Index,138D1964 Index
CIS Countries,23584.95,2.02,5673.55,0.99,17911.4,3.01,-12237.85,901D1138 Index,138D1901 Index
Sweden,22846.14,1.95,14758.7,2.57,8087.44,1.36,6671.26,144D1138 Index,138D1144 Index
Russia,18997.14,1.62,3752.54,0.65,15244.6,2.56,-11492.06,922D1138 Index,138D1922 Index
Sub-Saharan Africa,18865.57,1.61,6723.57,1.17,12142,2.04,-5418.43,603D1138 Index,138D1603 Index
