Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,1045999,100,578354,100,467645,100,110709,001D1542 Index,542D1001 Index
Emerging and Developing Economies,592885,56.68,346799,59.96,246086,52.62,100713,200I1542 Index,542D1200 Index
Non Fuel Exporting Countries,511201,48.87,321576,55.6,189625,40.55,131951,092D1542 Index,542D1092 Index
Advanced Economies,450003,43.02,231534,40.03,218469,46.72,13065,110D1542 Index,542D1110 Index
Developing Asia,434686,41.56,273151,47.23,161535,34.54,111616,505D1542 Index,542D1505 Index
China,282356,26.99,173501,30,108855,23.28,64646,924D1542 Index,542D1924 Index
United States,133782.8,12.79,76019.8,13.14,57763,12.35,18256.8,111D1542 Index,542D1111 Index
European Union,105507.1,10.09,50395.5,8.71,55111.6,11.78,-4716.1,998D1542 Index,542D1998 Index
Euro-zone,85915.6,8.21,36691.5,6.34,49224.1,10.53,-12532.6,995D1542 Index,542D1995 Index
Fuel Exporting Countries,81684.7,7.81,25223.7,4.36,56461,12.07,-31237.3,080D1542 Index,542D1080 Index
Japan,72592.7,6.94,26569.4,4.59,46023.3,9.84,-19453.9,158D1542 Index,542D1158 Index
Vietnam,67449.9,6.45,46873.3,8.1,20576.6,4.4,26296.7,582D1542 Index,542D1582 Index
Developing Western Hemisphere,44521.1,4.26,24451.7,4.23,20069.4,4.29,4382.3,205D1542 Index,542D1205 Index
Hong Kong,34382.55,3.29,32842.2,5.68,1540.35,0.33,31301.85,532D1542 Index,542D1532 Index
Germany,30919,2.96,10263.3,1.77,20655.7,4.42,-10392.4,134D1542 Index,542D1134 Index
CIS Countries,27616.8,2.64,15093.4,2.61,12523.4,2.68,2570,901D1542 Index,542D1901 Index
Australia,25311.94,2.42,6631.24,1.15,18680.7,3.99,-12049.46,193D1542 Index,542D1193 Index
Mexico,21939.21,2.1,15592.4,2.7,6346.81,1.36,9245.59,273D1542 Index,542D1273 Index
Singapore,20833.3,1.99,12387.4,2.14,8445.9,1.81,3941.5,576D1542 Index,542D1576 Index
Saudi Arabia,19775.14,1.89,3821.04,0.66,15954.1,3.41,-12133.06,456D1542 Index,542D1456 Index
Malaysia,19592.45,1.87,10695,1.85,8897.45,1.9,1797.55,548D1542 Index,542D1548 Index
Russia,17841.97,1.71,7159.27,1.24,10682.7,2.28,-3523.43,922D1542 Index,542D1922 Index
India,17070.16,1.63,12166.1,2.1,4904.06,1.05,7262.04,534D1542 Index,542D1534 Index
Indonesia,14434.15,1.38,6849.37,1.18,7584.78,1.62,-735.41,536D1542 Index,542D1536 Index
Thailand,12904.7,1.23,7708.72,1.33,5195.98,1.11,2512.74,578D1542 Index,542D1578 Index
Netherlands,12638.69,1.21,6414.85,1.11,6223.84,1.33,191.01,138D1542 Index,542D1138 Index
Canada,11936.65,1.14,7554.97,1.31,4381.68,0.94,3173.29,156D1542 Index,542D1156 Index
Italy,10225.24,0.98,3575.61,0.62,6649.63,1.42,-3074.02,136D1542 Index,542D1136 Index
Philippines,9970.96,0.95,6885.38,1.19,3085.58,0.66,3799.8,566D1542 Index,542D1566 Index
United Arab Emirates,9778.79,0.93,4084.84,0.71,5693.95,1.22,-1609.11,466D1542 Index,542D1466 Index
France,9389.95,0.9,3491.54,0.6,5898.41,1.26,-2406.87,132D1542 Index,542D1132 Index
United Kingdom,9066.12,0.87,4687.55,0.81,4378.57,0.94,308.98,112D1542 Index,542D1112 Index
Brazil,8571.93,0.82,4332.46,0.75,4239.47,0.91,92.99,223D1542 Index,542D1223 Index
Sub-Saharan Africa,8144.12,0.78,3973.07,0.69,4171.05,0.89,-197.98,603D1542 Index,542D1603 Index
Qatar,7876.12,0.75,315.01,0.05,7561.11,1.62,-7246.1,453D1542 Index,542D1453 Index
Turkey,7054.89,0.67,5734.27,0.99,1320.62,0.28,4413.65,186D1542 Index,542D1186 Index
Kuwait,6115.32,0.58,170.42,0.03,5944.9,1.27,-5774.48,443D1542 Index,542D1443 Index
Kazakhstan,5975.06,0.57,4885.61,0.84,1089.45,0.23,3796.16,916D1542 Index,542D1916 Index
Poland,5511.09,0.53,4678.41,0.81,832.68,0.18,3845.73,964D1542 Index,542D1964 Index
Iraq,5259.43,0.5,992.07,0.17,4267.36,0.91,-3275.29,433D1542 Index,542D1433 Index
Hungary,4947.4,0.47,4269.46,0.74,677.94,0.14,3591.52,944D1542 Index,542D1944 Index
Chile,4539.64,0.43,1014.48,0.18,3525.16,0.75,-2510.68,228D1542 Index,542D1228 Index
Spain,4416.39,0.42,2515.01,0.43,1901.38,0.41,613.63,184D1542 Index,542D1184 Index
Belgium,4199.11,0.4,2647.79,0.46,1551.32,0.33,1096.47,124D1542 Index,542D1124 Index
Slovakia,4070.61,0.39,3197.76,0.55,872.85,0.19,2324.91,936D1542 Index,542D1936 Index
Switzerland,3851.39,0.37,1094.47,0.19,2756.92,0.59,-1662.45,146D1542 Index,542D1146 Index
Czech Republic,3453.39,0.33,2496.6,0.43,956.79,0.2,1539.81,935D1542 Index,542D1935 Index
Peru,3371.85,0.32,603.08,0.1,2768.77,0.59,-2165.69,293D1542 Index,542D1293 Index
