Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,658743,100,299883,100,358860,100,-58977,001D1184 Index,184D1001 Index
Non Fuel Exporting Countries,584289,88.7,279642,93.25,304647,84.89,-25005,092D1184 Index,184D1092 Index
Advanced Economies,442249,67.14,218853,72.98,223396,62.25,-4543,110D1184 Index,184D1110 Index
European Union,395922,60.1,190369,63.48,205553,57.28,-15184,998D1184 Index,184D1998 Index
Euro-zone,321415,48.79,152498,50.85,168917,47.07,-16419,995D1184 Index,184D1995 Index
Emerging and Developing Economies,215199.5,32.67,80018.5,26.68,135181,37.67,-55162.5,200I1184 Index,184D1200 Index
France,86210.8,13.09,43831.2,14.62,42379.6,11.81,1451.6,132D1184 Index,184D1132 Index
Germany,80562.6,12.23,33089.1,11.03,47473.5,13.23,-14384.4,134D1184 Index,184D1134 Index
Fuel Exporting Countries,74454.4,11.3,20241.4,6.75,54213,15.11,-33971.6,080D1184 Index,184D1080 Index
Developing Europe,55137.3,8.37,24888.5,8.3,30248.8,8.43,-5360.3,170D1184 Index,184D1170 Index
Italy,44922.8,6.82,22893.4,7.63,22029.4,6.14,864,136D1184 Index,184D1136 Index
Developing Asia,44835.5,6.81,10871.7,3.63,33963.8,9.46,-23092.1,505D1184 Index,184D1505 Index
Developing Western Hemisphere,40756.5,6.19,17842.4,5.95,22914.1,6.39,-5071.7,205D1184 Index,184D1205 Index
Portugal,39386.1,5.98,25501.5,8.5,13884.6,3.87,11616.9,182D1184 Index,184D1182 Index
United Kingdom,37347.7,5.67,21617.5,7.21,15730.2,4.38,5887.3,112D1184 Index,184D1112 Index
China,28113.5,4.27,6201.2,2.07,21912.3,6.11,-15711.1,924D1184 Index,184D1924 Index
Netherlands,26405.29,4.01,9187.69,3.06,17217.6,4.8,-8029.91,138D1184 Index,184D1138 Index
United States,25883.7,3.93,14416.2,4.81,11467.5,3.2,2948.7,111D1184 Index,184D1111 Index
Sub-Saharan Africa,22486.2,3.41,5357.4,1.79,17128.8,4.77,-11771.4,603D1184 Index,184D1603 Index
Belgium,19462.8,2.95,7963.6,2.66,11499.2,3.2,-3535.6,124D1184 Index,184D1124 Index
CIS Countries,19026.52,2.89,6087.82,2.03,12938.7,3.61,-6850.88,901D1184 Index,184D1901 Index
Algeria,16898.33,2.57,4817.43,1.61,12080.9,3.37,-7263.47,612D1184 Index,184D1612 Index
Russia,12338.49,1.87,4341.25,1.45,7997.24,2.23,-3655.99,922D1184 Index,184D1922 Index
Morocco,11439.34,1.74,6095.62,2.03,5343.72,1.49,751.9,686D1184 Index,184D1686 Index
Mexico,11303.07,1.72,5038.44,1.68,6264.63,1.75,-1226.19,273D1184 Index,184D1273 Index
Turkey,11148.63,1.69,6075.85,2.03,5072.78,1.41,1003.07,186D1184 Index,184D1186 Index
Poland,10284.46,1.56,4530.92,1.51,5753.54,1.6,-1222.62,964D1184 Index,184D1964 Index
Switzerland,10082.2,1.53,5369.54,1.79,4712.66,1.31,656.88,146D1184 Index,184D1146 Index
Saudi Arabia,9092.09,1.38,2185.42,0.73,6906.67,1.92,-4721.25,456D1184 Index,184D1456 Index
Nigeria,8894.76,1.35,260.49,0.09,8634.27,2.41,-8373.78,694D1184 Index,184D1694 Index
Brazil,8002.71,1.21,4144.81,1.38,3857.9,1.08,286.91,223D1184 Index,184D1223 Index
