Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,588623,100,313387,100,275236,100,38151,001D1146 Index,146D1001 Index
Non Fuel Exporting Countries,552457,93.86,289797,92.47,262660,95.43,27137,092D1146 Index,146D1092 Index
Advanced Economies,412067,70.01,198591,63.37,213476,77.56,-14885,110D1146 Index,146D1110 Index
European Union,311981,53,129636,41.37,182345,66.25,-52709,998D1146 Index,146D1998 Index
Euro-zone,251179,42.67,112028,35.75,139151,50.56,-27123,995D1146 Index,146D1995 Index
Emerging and Developing Economies,176491.8,29.98,114769,36.62,61722.8,22.43,53046.2,200I1146 Index,146D1200 Index
Germany,108803.5,18.48,49162.3,15.69,59641.2,21.67,-10478.9,134D1146 Index,146D1134 Index
Developing Asia,90123.7,15.31,69358.4,22.13,20765.3,7.54,48593.1,505D1146 Index,146D1505 Index
China,53884.8,9.15,40616.8,12.96,13268,4.82,27348.8,924D1146 Index,146D1924 Index
United States,52829.7,8.98,31483.2,10.05,21346.5,7.76,10136.7,111D1146 Index,146D1111 Index
United Kingdom,45557.4,7.74,11743.9,3.75,33813.5,12.29,-22069.6,112D1146 Index,146D1112 Index
France,38683.7,6.57,20509,6.54,18174.7,6.6,2334.3,132D1146 Index,146D1132 Index
Italy,36472.3,6.2,13840.3,4.42,22632,8.22,-8791.7,136D1146 Index,146D1136 Index
Fuel Exporting Countries,36166.1,6.14,23590.5,7.53,12575.6,4.57,11014.9,080D1146 Index,146D1080 Index
Developing Europe,28501.8,4.84,13305.9,4.25,15195.9,5.52,-1890,170D1146 Index,146D1170 Index
India,22952.49,3.9,21169.3,6.76,1783.19,0.65,19386.11,534D1146 Index,146D1534 Index
Austria,19938.21,3.39,10224.3,3.26,9713.91,3.53,510.39,122D1146 Index,146D1122 Index
Developing Western Hemisphere,18258.38,3.1,7541.68,2.41,10716.7,3.89,-3175.02,205D1146 Index,146D1205 Index
Hong Kong,13345.62,2.27,10244.2,3.27,3101.42,1.13,7142.78,532D1146 Index,146D1532 Index
CIS Countries,12121.93,2.06,5133.34,1.64,6988.59,2.54,-1855.25,901D1146 Index,146D1901 Index
Sub-Saharan Africa,11581.37,1.97,3196.94,1.02,8384.43,3.05,-5187.49,603D1146 Index,146D1603 Index
Japan,11218.04,1.91,7224.91,2.31,3993.13,1.45,3231.78,158D1146 Index,146D1158 Index
United Arab Emirates,10984.67,1.87,7641.73,2.44,3342.94,1.21,4298.79,466D1146 Index,146D1466 Index
Belgium,10877.87,1.85,5833.98,1.86,5043.89,1.83,790.09,124D1146 Index,146D1124 Index
Spain,10082.2,1.71,4712.66,1.5,5369.54,1.95,-656.88,184D1146 Index,146D1184 Index
Ireland,9565.98,1.63,1681.15,0.54,7884.83,2.86,-6203.68,178D1146 Index,146D1178 Index
Netherlands,9195.97,1.56,3095.5,0.99,6100.47,2.22,-3004.97,138D1146 Index,146D1138 Index
Turkey,8519.55,1.45,4825.46,1.54,3694.09,1.34,1131.37,186D1146 Index,146D1186 Index
Russia,6610.37,1.12,3268.54,1.04,3341.83,1.21,-73.29,922D1146 Index,146D1922 Index
Israel,5898.77,1,5189.4,1.66,709.37,0.26,4480.03,436D1146 Index,146D1436 Index
Singapore,5720.77,0.97,4010.1,1.28,1710.67,0.62,2299.43,576D1146 Index,146D1576 Index
Thailand,5514.53,0.94,3475.68,1.11,2038.85,0.74,1436.83,578D1146 Index,146D1578 Index
Canada,5335.02,0.91,3732.04,1.19,1602.98,0.58,2129.06,156D1146 Index,146D1156 Index
Saudi Arabia,4861.48,0.83,4676.81,1.49,184.67,0.07,4492.15,456D1146 Index,146D1456 Index
Brazil,4709.58,0.8,2956.49,0.94,1753.09,0.64,1203.4,223D1146 Index,146D1223 Index
Mexico,4067.05,0.69,2106.42,0.67,1960.63,0.71,145.79,273D1146 Index,146D1273 Index
Czech Republic,3712.33,0.63,1206.08,0.38,2506.25,0.91,-1300.17,935D1146 Index,146D1935 Index
South Korea,3455.95,0.59,2764.1,0.88,691.85,0.25,2072.26,542D1146 Index,146D1542 Index
Australia,3303.56,0.56,2699.63,0.86,603.93,0.22,2095.7,193D1146 Index,146D1193 Index
South Africa,3222.78,0.55,873.89,0.28,2348.89,0.85,-1475,199D1146 Index,146D1199 Index
Peru,3091.01,0.53,214.47,0.07,2876.54,1.05,-2662.07,293D1146 Index,146D1293 Index
Poland,2985.75,0.51,1071.89,0.34,1913.86,0.7,-841.97,964D1146 Index,146D1964 Index
Malaysia,2973.76,0.51,2269.81,0.72,703.95,0.26,1565.86,548D1146 Index,146D1548 Index
Sweden,2934.63,0.5,1151.73,0.37,1782.9,0.65,-631.17,144D1146 Index,146D1144 Index
Iran,2534.88,0.43,2501.85,0.8,33.03,0.01,2468.82,429D1146 Index,146D1429 Index
Ghana,1784.47,0.3,52.4,0.02,1732.07,0.63,-1679.67,652D1146 Index,146D1652 Index
Hungary,1767.74,0.3,565.48,0.18,1202.26,0.44,-636.78,944D1146 Index,146D1944 Index
Finland,1660.99,0.28,547.69,0.17,1113.3,0.4,-565.61,172D1146 Index,146D1172 Index
Denmark,1654.16,0.28,748.88,0.24,905.28,0.33,-156.4,128D1146 Index,146D1128 Index
Norway,1604.67,0.27,1220.47,0.39,384.2,0.14,836.27,142D1146 Index,146D1142 Index
Uzbekistan,1469.08,0.25,151.29,0.05,1317.79,0.48,-1166.5,927D1146 Index,146D1927 Index
Vietnam,1407.44,0.24,362.35,0.12,1045.09,0.38,-682.74,582D1146 Index,146D1582 Index
Slovakia,1397.38,0.24,441.17,0.14,956.22,0.35,-515.05,936D1146 Index,146D1936 Index
Burkina Faso,1326.01,0.23,10.29,0,1315.72,0.48,-1305.43,748D1146 Index,146D1748 Index
Romania,1313.2,0.22,639.26,0.2,673.94,0.24,-34.68,968D1146 Index,146D1968 Index
Algeria,1293.25,0.22,1082.85,0.35,210.4,0.08,872.45,612D1146 Index,146D1612 Index
Nigeria,1287.03,0.22,434.39,0.14,852.64,0.31,-418.25,694D1146 Index,146D1694 Index
Portugal,1250.53,0.21,354.46,0.11,896.07,0.33,-541.6,182D1146 Index,146D1182 Index
Colombia,1237.23,0.21,519.24,0.17,717.99,0.26,-198.75,233D1146 Index,146D1233 Index
Kazakhstan,1228.58,0.21,183.21,0.06,1045.37,0.38,-862.16,916D1146 Index,146D1916 Index
Libya,1214.88,0.21,67.79,0.02,1147.09,0.42,-1079.3,672D1146 Index,146D1672 Index
Qatar,1147.52,0.19,979.89,0.31,167.63,0.06,812.27,453D1146 Index,146D1453 Index
Chile,1145.45,0.19,285.07,0.09,860.38,0.31,-575.31,228D1146 Index,146D1228 Index
Argentina,1131.12,0.19,548.54,0.18,582.58,0.21,-34.04,213D1146 Index,146D1213 Index
Tanzania,1070.5,0.18,905.64,0.29,164.86,0.06,740.77,738D1146 Index,146D1738 Index
Macau,1035.73,0.18,1026.55,0.33,9.18,0,1017.37,546D1146 Index,146D1546 Index
Slovenia,998.05,0.17,416.06,0.13,581.99,0.21,-165.93,961D1146 Index,146D1961 Index
Egypt,974.92,0.17,864.96,0.28,109.96,0.04,755,469D1146 Index,146D1469 Index
Indonesia,968.64,0.16,628.23,0.2,340.41,0.12,287.81,536D1146 Index,146D1536 Index
Lebanon,832.05,0.14,534.09,0.17,297.95,0.11,236.14,446D1146 Index,146D1446 Index
Greece,797.9,0.14,625.39,0.2,172.51,0.06,452.88,174D1146 Index,146D1174 Index
Philippines,778.81,0.13,353.54,0.11,425.27,0.15,-71.74,566D1146 Index,146D1566 Index
Venezuela,756.13,0.13,240.31,0.08,515.82,0.19,-275.51,299D1146 Index,146D1299 Index
Ukraine,751.12,0.13,523.56,0.17,227.56,0.08,296,926D1146 Index,146D1926 Index
Luxembourg,718.47,0.12,116.47,0.04,601.99,0.22,-485.52,137D1146 Index,146D1137 Index
Iraq,682.68,0.12,469.14,0.15,213.54,0.08,255.59,433D1146 Index,146D1433 Index
Kuwait,634.64,0.11,606.25,0.19,28.39,0.01,577.86,443D1146 Index,146D1443 Index
Bangladesh,565.3,0.1,205.87,0.07,359.43,0.13,-153.57,513D1146 Index,146D1513 Index
Morocco,550.22,0.09,298.61,0.1,251.6,0.09,47.01,686D1146 Index,146D1686 Index
Jordan,542.26,0.09,534.79,0.17,7.46,0,527.33,439D1146 Index,146D1439 Index
Azerbaijan,539.23,0.09,94.36,0.03,444.88,0.16,-350.52,912D1146 Index,146D1912 Index
Belarus,524.78,0.09,503.23,0.16,21.55,0.01,481.68,913D1146 Index,146D1913 Index
Cote D Ivoire,490.41,0.08,38.49,0.01,451.92,0.16,-413.43,662D1146 Index,146D1662 Index
Bulgaria,479.03,0.08,232.5,0.07,246.53,0.09,-14.03,918D1146 Index,146D1918 Index
Pakistan,437.71,0.07,319.72,0.1,117.99,0.04,201.73,564D1146 Index,146D1564 Index
Suriname,435.55,0.07,3.86,0,431.68,0.16,-427.82,366D1146 Index,146D1366 Index
Kyrgyzstan,433.15,0.07,16.98,0.01,416.17,0.15,-399.18,917D1146 Index,146D1917 Index
Mongolia,428.02,0.07,9.14,0,418.88,0.15,-409.74,948D1146 Index,146D1948 Index
Tunisia,422.27,0.07,255.12,0.08,167.15,0.06,87.98,744D1146 Index,146D1744 Index
Croatia,398.04,0.07,248.42,0.08,149.62,0.05,98.79,960D1146 Index,146D1960 Index
