Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,1006946,100,378767,100,628179,100,-249412,001D1112 Index,112D1001 Index
Advanced Economies,710634,70.57,292801,77.3,417833,66.51,-125032,110D1112 Index,112D1110 Index
European Union,481211,47.79,192948,50.94,288263,45.89,-95315,998D1112 Index,112D1998 Index
Euro-zone,419101,41.62,169445,44.74,249656,39.74,-80211,995D1112 Index,112D1995 Index
Emerging and Developing Economies,284820.6,28.29,85952.6,22.69,198868,31.66,-112915.4,200I1112 Index,112D1200 Index
Non Fuel Exporting Countries,232865.3,23.13,66567.3,17.57,166298,26.47,-99730.7,092D1112 Index,112D1092 Index
Developing Asia,133380.6,13.25,31303.6,8.26,102077,16.25,-70773.4,505D1112 Index,112D1505 Index
Germany,115837.1,11.5,43607.8,11.51,72229.3,11.5,-28621.5,134D1112 Index,112D1134 Index
United States,108535.6,10.78,50206.2,13.26,58329.4,9.29,-8123.2,111D1112 Index,112D1111 Index
China,95290.8,9.46,19770.8,5.22,75520,12.02,-55749.2,924D1112 Index,112D1924 Index
Netherlands,70239.3,6.98,25359.5,6.7,44879.8,7.14,-19520.3,138D1112 Index,112D1138 Index
Fuel Exporting Countries,51955.4,5.16,19385.3,5.12,32570.1,5.18,-13184.8,080D1112 Index,112D1080 Index
France,51250.4,5.09,22376.5,5.91,28873.9,4.6,-6497.4,132D1112 Index,112D1132 Index
Belgium,44383.4,4.41,16080.5,4.25,28302.9,4.51,-12222.4,124D1112 Index,112D1124 Index
Ireland,44059.2,4.38,27134.2,7.16,16925,2.69,10209.2,178D1112 Index,112D1178 Index
CIS Countries,38349.96,3.81,5257.56,1.39,33092.4,5.27,-27834.84,901D1112 Index,112D1901 Index
Italy,32670.3,3.24,10120.2,2.67,22550.1,3.59,-12429.9,136D1112 Index,112D1136 Index
Spain,29862.1,2.97,11797.4,3.11,18064.7,2.88,-6267.3,184D1112 Index,112D1184 Index
Switzerland,28384.5,2.82,16481.1,4.35,11903.4,1.89,4577.7,146D1112 Index,112D1146 Index
Russia,27920.82,2.77,3389.02,0.89,24531.8,3.91,-21142.78,922D1112 Index,112D1922 Index
Hong Kong,24069.55,2.39,9202.15,2.43,14867.4,2.37,-5665.25,532D1112 Index,112D1532 Index
Canada,21194.34,2.1,6085.24,1.61,15109.1,2.41,-9023.86,156D1112 Index,112D1156 Index
Poland,19715.48,1.96,6188.18,1.63,13527.3,2.15,-7339.12,964D1112 Index,112D1964 Index
Sub-Saharan Africa,19256.58,1.91,7731.08,2.04,11525.5,1.83,-3794.42,603D1112 Index,112D1603 Index
Norway,18494.81,1.84,4425.11,1.17,14069.7,2.24,-9644.59,142D1112 Index,112D1142 Index
Developing Western Hemisphere,17770.14,1.76,7069.44,1.87,10700.7,1.7,-3631.26,205D1112 Index,112D1205 Index
Turkey,17006.17,1.69,5582.67,1.47,11423.5,1.82,-5840.83,186D1112 Index,112D1186 Index
Japan,16145.83,1.6,6017.93,1.59,10127.9,1.61,-4109.97,158D1112 Index,112D1158 Index
Australia,15544.26,1.54,5113.26,1.35,10431,1.66,-5317.74,193D1112 Index,112D1193 Index
Sweden,13733.53,1.36,6364.04,1.68,7369.49,1.17,-1005.45,144D1112 Index,112D1144 Index
India,12185.12,1.21,4723.11,1.25,7462.01,1.19,-2738.9,534D1112 Index,112D1534 Index
South Africa,10221.25,1.02,1806.58,0.48,8414.67,1.34,-6608.09,199D1112 Index,112D1199 Index
Denmark,9450.01,0.94,3468.55,0.92,5981.46,0.95,-2512.91,128D1112 Index,112D1128 Index
Czech Republic,9146.7,0.91,3390.33,0.9,5756.37,0.92,-2366.04,935D1112 Index,112D1935 Index
South Korea,9066.12,0.9,4378.57,1.16,4687.55,0.75,-308.98,542D1112 Index,112D1542 Index
Singapore,9029.39,0.9,6135.78,1.62,2893.61,0.46,3242.17,576D1112 Index,112D1576 Index
United Arab Emirates,7485.66,0.74,5851.01,1.54,1634.65,0.26,4216.36,466D1112 Index,112D1466 Index
Austria,7136.96,0.71,2762.36,0.73,4374.6,0.7,-1612.24,122D1112 Index,112D1122 Index
Uzbekistan,6052.3,0.6,24.67,0.01,6027.63,0.96,-6002.96,927D1112 Index,112D1927 Index
Vietnam,5693.72,0.57,683.45,0.18,5010.27,0.8,-4326.82,582D1112 Index,112D1582 Index
Portugal,5246.75,0.52,2205.08,0.58,3041.67,0.48,-836.59,182D1112 Index,112D1182 Index
Brazil,5212.54,0.52,2307.18,0.61,2905.36,0.46,-598.18,223D1112 Index,112D1223 Index
Mexico,5207.22,0.52,1919.81,0.51,3287.41,0.52,-1367.6,273D1112 Index,112D1273 Index
Thailand,5113.03,0.51,1793.2,0.47,3319.83,0.53,-1526.63,578D1112 Index,112D1578 Index
Hungary,5051.68,0.5,1729.05,0.46,3322.63,0.53,-1593.58,944D1112 Index,112D1944 Index
Slovakia,4494.78,0.45,1444.55,0.38,3050.23,0.49,-1605.68,936D1112 Index,112D1936 Index
Finland,4379.17,0.43,1746.06,0.46,2633.11,0.42,-887.05,172D1112 Index,112D1172 Index
Israel,4353.81,0.43,2981.8,0.79,1372.01,0.22,1609.79,436D1112 Index,112D1436 Index
Saudi Arabia,4214.1,0.42,2993.28,0.79,1220.82,0.19,1772.46,456D1112 Index,112D1456 Index
Malaysia,4102.33,0.41,1609.32,0.42,2493.01,0.4,-883.69,548D1112 Index,112D1548 Index
Romania,3438.3,0.34,1605.03,0.42,1833.27,0.29,-228.24,968D1112 Index,112D1968 Index
Bangladesh,3302,0.33,301.56,0.08,3000.44,0.48,-2698.88,513D1112 Index,112D1513 Index
Qatar,3014.29,0.3,1855.58,0.49,1158.71,0.18,696.87,453D1112 Index,112D1453 Index
Nigeria,2769.75,0.28,1436.17,0.38,1333.58,0.21,102.59,694D1112 Index,112D1694 Index
Indonesia,2690.61,0.27,959.02,0.25,1731.59,0.28,-772.57,536D1112 Index,112D1536 Index
Greece,2305.84,0.23,1189.44,0.31,1116.4,0.18,73.04,174D1112 Index,112D1174 Index
Pakistan,2227.54,0.22,610.84,0.16,1616.7,0.26,-1005.86,564D1112 Index,112D1564 Index
Egypt,2212.95,0.22,1273.65,0.34,939.3,0.15,334.36,469D1112 Index,112D1469 Index
Lithuania,2065.69,0.21,879.2,0.23,1186.49,0.19,-307.29,946D1112 Index,112D1946 Index
