Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,4095380,100,1596980,100,2498400,100,-901420,001D1111 Index,111D1001 Index
Advanced Economies,2101959,51.33,891829,55.84,1210130,48.44,-318301,110D1111 Index,111D1110 Index
Emerging and Developing Economies,1993049,48.67,704779,44.13,1288270,51.56,-583491,200I1111 Index,111D1200 Index
Non Fuel Exporting Countries,1841559,44.97,630079,39.45,1211480,48.49,-581401,092D1111 Index,111D1092 Index
Developing Asia,929785,22.7,229816,14.39,699969,28.02,-470153,505D1111 Index,111D1505 Index
Developing Western Hemisphere,817560,19.96,350566,21.95,466994,18.69,-116428,205D1111 Index,111D1205 Index
European Union,715091,17.46,263334,16.49,451757,18.08,-188423,998D1111 Index,111D1998 Index
Euro-zone,647546,15.81,242045,15.16,405501,16.23,-163456,995D1111 Index,111D1995 Index
Mexico,576195,14.07,218069,13.66,358126,14.33,-140057,273D1111 Index,111D1273 Index
China,575479,14.05,123236,7.72,452243,18.1,-329007,924D1111 Index,111D1924 Index
Canada,563029,13.75,243293,15.23,319736,12.8,-76443,156D1111 Index,111D1156 Index
Japan,224882.1,5.49,81246.1,5.09,143636,5.75,-62389.9,158D1111 Index,111D1158 Index
Germany,188092.8,4.59,60630.8,3.8,127462,5.1,-66831.2,134D1111 Index,111D1134 Index
Fuel Exporting Countries,151493,3.7,74700.5,4.68,76792.5,3.07,-2092,080D1111 Index,111D1080 Index
South Korea,139584.5,3.41,62073.4,3.89,77511.1,3.1,-15437.7,542D1111 Index,111D1542 Index
United Kingdom,132555.4,3.24,69368.4,4.34,63187,2.53,6181.4,112D1111 Index,111D1112 Index
Developing Europe,99520.6,2.43,44853.4,2.81,54667.2,2.19,-9813.8,170D1111 Index,111D1170 Index
France,94358.9,2.3,36851.6,2.31,57507.3,2.3,-20655.7,132D1111 Index,111D1132 Index
India,92616.5,2.26,34951,2.19,57665.5,2.31,-22714.5,534D1111 Index,111D1534 Index
Vietnam,81114,1.98,14433.7,0.9,66680.3,2.67,-52246.6,582D1111 Index,111D1582 Index
Netherlands,78464.4,1.92,48698.2,3.05,29766.2,1.19,18932,138D1111 Index,111D1138 Index
Ireland,78279.2,1.91,16511.2,1.03,61768,2.47,-45256.8,178D1111 Index,111D1178 Index
Italy,76199.2,1.86,19039.5,1.19,57159.7,2.29,-38120.2,136D1111 Index,111D1136 Index
Singapore,70299.6,1.72,43918.6,2.75,26381,1.06,17537.6,576D1111 Index,111D1576 Index
Switzerland,63731,1.56,18823.9,1.18,44907.1,1.8,-26083.2,146D1111 Index,111D1146 Index
Brazil,63087.3,1.54,32234.2,2.02,30853.1,1.23,1381.1,223D1111 Index,111D1223 Index
Malaysia,57143.5,1.4,16576.4,1.04,40567.1,1.62,-23990.7,548D1111 Index,111D1548 Index
Belgium,52789.8,1.29,32618.2,2.04,20171.6,0.81,12446.6,124D1111 Index,111D1124 Index
Thailand,50985.5,1.24,17524.4,1.1,33461.1,1.34,-15936.7,578D1111 Index,111D1578 Index
CIS Countries,46451.5,1.13,20924.4,1.31,25527.1,1.02,-4602.7,901D1111 Index,111D1901 Index
Sub-Saharan Africa,38603.9,0.94,17637.5,1.1,20966.4,0.84,-3328.9,603D1111 Index,111D1603 Index
Australia,37622.2,0.92,26767.8,1.68,10854.4,0.43,15913.4,193D1111 Index,111D1193 Index
Russia,35707,0.87,13422.2,0.84,22284.8,0.89,-8862.6,922D1111 Index,111D1922 Index
Hong Kong,32089.93,0.78,27376.7,1.71,4713.23,0.19,22663.47,532D1111 Index,111D1532 Index
Israel,31758.6,0.78,12251.7,0.77,19506.9,0.78,-7255.2,436D1111 Index,111D1436 Index
Spain,31555.6,0.77,14760.9,0.92,16794.7,0.67,-2033.8,184D1111 Index,111D1184 Index
Indonesia,29475.36,0.72,9319.16,0.58,20156.2,0.81,-10837.04,536D1111 Index,111D1536 Index
Saudi Arabia,28934.3,0.71,15491.4,0.97,13442.9,0.54,2048.5,456D1111 Index,111D1456 Index
Colombia,27513,0.67,13375.3,0.84,14137.7,0.57,-762.4,233D1111 Index,111D1233 Index
United Arab Emirates,24368.15,0.6,20015.6,1.25,4352.55,0.17,15663.05,466D1111 Index,111D1466 Index
Chile,24140.9,0.59,13747,0.86,10393.9,0.42,3353.1,228D1111 Index,111D1228 Index
Turkey,22491,0.55,11847.4,0.74,10643.6,0.43,1203.8,186D1111 Index,111D1186 Index
Philippines,21334.86,0.52,8555.66,0.54,12779.2,0.51,-4223.54,566D1111 Index,111D1566 Index
Austria,18612.44,0.45,5440.04,0.34,13172.4,0.53,-7732.36,122D1111 Index,111D1122 Index
Sweden,16894.64,0.41,4747.04,0.3,12147.6,0.49,-7400.56,144D1111 Index,111D1144 Index
Dominican Republic,15612.13,0.38,10057.9,0.63,5554.23,0.22,4503.67,243D1111 Index,111D1243 Index
Peru,15211.3,0.37,9066.39,0.57,6144.91,0.25,2921.48,293D1111 Index,111D1293 Index
Poland,14494.42,0.35,6113.29,0.38,8381.13,0.34,-2267.84,964D1111 Index,111D1964 Index
Denmark,14477.72,0.35,3446.32,0.22,11031.4,0.44,-7585.08,128D1111 Index,111D1128 Index
South Africa,13942.26,0.34,6143.33,0.38,7798.93,0.31,-1655.6,199D1111 Index,111D1199 Index
Norway,13271.96,0.32,6770.05,0.42,6501.91,0.26,268.14,142D1111 Index,111D1142 Index
Ecuador,12216.59,0.3,5261.89,0.33,6954.7,0.28,-1692.81,248D1111 Index,111D1248 Index
Guatemala,11350.76,0.28,7361.37,0.46,3989.39,0.16,3371.98,258D1111 Index,111D1258 Index
Costa Rica,11341.82,0.28,6192.21,0.39,5149.61,0.21,1042.6,238D1111 Index,111D1238 Index
Argentina,11134.12,0.27,6217.04,0.39,4917.08,0.2,1299.96,213D1111 Index,111D1213 Index
Czech Republic,9067.12,0.22,3527.59,0.22,5539.53,0.22,-2011.94,935D1111 Index,111D1935 Index
Nigeria,9050.19,0.22,4440.91,0.28,4609.28,0.18,-168.37,694D1111 Index,111D1694 Index
Bangladesh,8634.54,0.21,1946.83,0.12,6687.71,0.27,-4740.88,513D1111 Index,111D1513 Index
Iraq,8379.35,0.2,1354.58,0.08,7024.77,0.28,-5670.19,433D1111 Index,111D1433 Index
Egypt,8356.51,0.2,5203.08,0.33,3153.43,0.13,2049.65,469D1111 Index,111D1469 Index
New Zealand,8354.01,0.2,4239.16,0.27,4114.85,0.16,124.31,196D1111 Index,111D1196 Index
Honduras,8143.67,0.2,3317.69,0.21,4825.98,0.19,-1508.29,268D1111 Index,111D1268 Index
Finland,7970.23,0.19,1584.83,0.1,6385.4,0.26,-4800.57,172D1111 Index,111D1172 Index
Hungary,7316.25,0.18,2002.33,0.13,5313.92,0.21,-3311.59,944D1111 Index,111D1944 Index
Qatar,7189.47,0.18,5494.77,0.34,1694.7,0.07,3800.07,453D1111 Index,111D1453 Index
Pakistan,6507.23,0.16,2584.9,0.16,3922.33,0.16,-1337.43,564D1111 Index,111D1564 Index
El Salvador,6134.32,0.15,3654.9,0.23,2479.42,0.1,1175.48,253D1111 Index,111D1253 Index
Slovakia,5716.36,0.14,563.39,0.04,5152.97,0.21,-4589.58,936D1111 Index,111D1936 Index
Cambodia,5680.38,0.14,318.35,0.02,5362.03,0.21,-5043.68,522D1111 Index,111D1522 Index
Portugal,5545.43,0.14,1653.81,0.1,3891.62,0.16,-2237.81,182D1111 Index,111D1182 Index
Morocco,5360.15,0.13,3779.17,0.24,1580.98,0.06,2198.19,686D1111 Index,111D1686 Index
Nicaragua,5106.58,0.12,1221.04,0.08,3885.54,0.16,-2664.5,278D1111 Index,111D1278 Index
Trinidad And Tobago,4760.98,0.12,1331.76,0.08,3429.22,0.14,-2097.46,369D1111 Index,111D1369 Index
Ukraine,4343.83,0.11,3045.36,0.19,1298.47,0.05,1746.89,926D1111 Index,111D1926 Index
Bahamas,3784,0.09,3373.24,0.21,410.76,0.02,2962.48,313D1111 Index,111D1313 Index
Jordan,3770.18,0.09,1599.87,0.1,2170.31,0.09,-570.44,439D1111 Index,111D1439 Index
Panama,3730.42,0.09,3278.34,0.21,452.08,0.02,2826.26,283D1111 Index,111D1283 Index
